Date,hour,min,Nb_People
7/27/16,11,50,6
7/28/16,11,51,6
7/27/16,11,52,6
7/27/16,11,53,6
7/27/16,11,54,4
7/27/16,11,55,4
7/27/16,11,56,4
7/27/16,11,57,4
7/27/16,11,58,6
7/27/16,11,59,6
7/27/16,12,0,12
7/27/16,12,1,12
7/27/16,12,2,10
7/27/16,12,3,10
7/27/16,12,4,19
7/27/16,12,5,19
7/27/16,12,6,24
7/27/16,12,7,25
7/27/16,12,8,26
7/27/16,12,9,26
7/27/16,12,10,25
7/27/16,12,11,25
7/27/16,12,12,25
7/27/16,12,13,25
7/27/16,12,14,25
7/27/16,12,15,25
7/27/16,12,16,25
7/27/16,12,17,25
7/27/16,12,18,25
7/27/16,12,19,25
7/27/16,12,20,25
7/27/16,12,21,25
7/27/16,12,22,25
7/27/16,12,23,25
7/27/16,12,24,25
7/27/16,12,25,25
7/27/16,12,26,25
7/27/16,12,27,25
7/27/16,12,28,25
7/27/16,12,29,25
7/27/16,12,30,25
7/27/16,12,31,25
7/27/16,12,32,25
7/27/16,12,33,26
7/27/16,12,34,26
7/27/16,12,35,26
7/27/16,12,36,26
7/27/16,12,37,26
7/27/16,12,38,26
7/27/16,12,39,26
7/27/16,12,40,26
7/27/16,12,41,26
7/27/16,12,42,26
7/27/16,12,43,26
7/27/16,12,44,26
7/27/16,12,45,26
7/27/16,12,46,26
7/27/16,12,47,26
7/27/16,12,48,26
7/27/16,12,49,26
7/27/16,12,50,26
7/27/16,12,51,26
7/27/16,12,52,26
7/27/16,12,53,26
7/27/16,12,54,26
7/27/16,12,55,26
7/27/16,12,56,26
7/27/16,12,57,26
7/27/16,12,58,26
7/27/16,12,59,26
7/27/16,13,0,26
7/27/16,13,1,26
7/27/16,13,2,26
7/27/16,13,3,25
7/27/16,13,4,25
7/27/16,13,5,25
7/27/16,13,6,25
7/27/16,13,7,25
7/27/16,13,8,25
7/27/16,13,9,25
7/27/16,13,10,25
7/27/16,13,11,25
7/27/16,13,12,25
7/27/16,13,13,24
7/27/16,13,14,24
7/27/16,13,15,24
7/27/16,13,16,24
7/27/16,13,17,24
7/27/16,13,18,24
7/27/16,13,19,24
7/27/16,13,20,24
7/27/16,13,21,24
7/27/16,13,22,24
